Device ,Size [cm2],Temperature [C],Irradiance [W/m2],Jsc [mA/cm2],Isc [mA],Voc [mV],Impp [mA],Vmpp [mV],Pmpp [mW],FF [%],Eta [%],n1 ,n2 ,IscSlope [Ohm.cm2],Rshunt [Ohm.cm2],Rseries [mOhm.cm2],Jo1 [A/cm2],Jo2 [A/cm2],Slope Voc [mOhm.cm2],GaAs+PMMA+TR0%+L430W,GaAs+PMMA+TR1%+L430W,GaAs+PMMA+TR10%+L430W,GaAs+PMMA+TR15%+L430W,GaAs+PMMA+TR2%+L430W,GaAs+PMMA+TR3%+L430W,GaAs+PMMA+TR4%+L430W,GaAs+PMMA+TR5%+L430W,GaAs+PMMA+TR6%+L430W,GaAs+PMMA+TR7%+L430W,GaAs+PMMA+TR8%+L430W,GaAs+PMMA+TR9%+L430W,EuTTAbipy5%0.01,TiO4Al2O3,TiO2,TiO2Al2O3,Al2O3,-cap,RTA920,PMMA,TR,ARC,Submon2x4,SubMon2/4,SubMonML4/4,Al30%,Al82%,f2,f5,f8,f10,Ref GaAs,QDSKmeio,QDSKfundo,QDSK,I+,Si
3906,0.27075,25.0,990.831707317073,14.3752350213517,3.89209488203097,462.538365570567,3.26371394069708,337.474594125679,1.10142053747907,61.181763341052,4.06803522614614,3.6052,0.0,8999.55648477532,0.0,0.05714,2.5397e-05,0,20238.1839117953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,0.27075,25.0,990.831707317073,13.1487965654699,3.56003667010097,825.652038812322,3.16409362389863,635.055299573549,2.0093744242037,68.3611470195066,7.42151218542458,3.7022,0.0,17783.4607268956,0.0,0.042536,5.8984e-07,0,25630.4419320487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,0.0483,25.0,990.831707317073,12.1687348864477,0.587749895015422,853.363198325524,0.539214136341712,711.825649837749,0.38382645300314,76.5258976614425,7.94671745348115,2.0256,0.0,85325.4025227102,75114.5496882746,3.9396,4.2866e-11,0,89335.7565147769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,0.0483,25.0,990.831707317073,12.8739015381472,0.621809444292508,630.577737660801,0.472431688321255,433.288922815804,0.204699417336768,52.206028775404,4.23808317467429,5.0,0.0,14701.905039674,23121.9218941478,9.3501,4.4121e-06,0,210423.720920375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,0.041848,24.785,989.436097560976,14.4864041999487,0.606227042959453,878.263154190641,0.555034890663567,725.452696225119,0.402651557930898,75.6257012763613,9.62176347569533,2.2216,0.0,111648.440657758,78758.7619122627,4.6525,1.1647e-10,0,93321.1145476156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3908,0.03620452,25.485,995.050731707317,17.2830725538016,0.62572534593556,891.678155187068,0.531067593824722,724.438877147804,0.384726011359967,68.9540335310437,10.6264635288623,0.0,0.0,239894.753218608,0.0,0.0,0.0,0,101496.485202086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3908,0.03708192,25.2,995.050731707317,16.5301748233484,0.61297062038542,907.191114824924,0.571145029516822,746.669406649756,0.426456520300282,76.6895715728161,11.5003894161975,0.0,0.0,100000000.0,0.0,0.0,0.0,0,106090.201050303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3908,0.03538704,25.535,995.050731707317,16.752319318402,0.592814993813065,899.620147347102,0.553359255655361,753.780423257732,0.417111373941482,78.212051920172,11.7871224589986,0.0,0.0,362300.005474636,0.0,0.0,0.0,0,88304.9965867497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.6899864339477,0.612926344759674,905.511293651138,0.57112939411666,742.961279113467,0.424327025192213,76.4537043592753,8.785238616816,2.7356,0.0,246608.504355765,0.0,0.85453,1.5204e-09,0,106496.507008778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.6962959580725,0.613231094774901,903.585294754036,0.567720999700733,739.239591501795,0.41968183990576,75.7402709633654,8.68906500840084,2.5137,0.0,323126.630569194,657462.195923734,2.4737,5.0042e-10,0,110740.852018802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.7502361261427,0.615836404892692,899.998117305374,0.571712261467697,738.004240904152,0.421926073540064,76.1253679295586,8.73552947287916,2.2474,0.0,463518.125871258,0.0,19.086,1.043e-10,0,104157.843971799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.7478508929173,0.615721198127907,900.070280641117,0.571880121800594,737.396623635324,0.421702470939916,76.0931596630161,8.73090001945996,2.2594,0.0,100000000.0,2800571.31654858,18.17,1.1329e-10,0,103929.641726275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.7338500888416,0.615044959291048,907.633851375819,0.571687015819659,740.878289940153,0.423550498661459,75.8730685688513,8.76916146297016,2.7842,0.0,100000000.0,0.0,8.2891,1.8594e-09,0,116597.855026053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.6760613389041,0.61225376266907,908.308913589733,0.569691378085227,741.837022109672,0.4226181554403,75.9946661142297,8.74985829068944,2.2142,0.0,230391.828394764,2758849.00819378,26.848,7.0737e-11,0,117038.495190794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.6451626513116,0.610761356058351,880.610638523965,0.563348615612982,724.238427124661,0.407998715294402,75.8583369003039,8.44717837048451,2.2329,0.0,100000000.0,245483.11076198,13.511,1.2992e-10,0,99598.625168653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.3668309344412,0.597317934133511,901.041798483192,0.55712175596365,750.360948065936,0.418042408993044,77.6729588537284,8.65512233940049,2.0432,0.0,100000000.0,640204.865556978,14.676,2.0718e-11,0,95160.9719538409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.2537586769113,0.591856544094814,892.450204919012,0.550355653579082,737.617829665854,0.405952142737335,76.8554005902071,8.40480626785373,2.5813,0.0,539231.626679337,0.0,0.0021413,8.1843e-10,0,102087.311208247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.2917781365851,0.593692883997062,901.885367139502,0.552942150718494,745.850332192216,0.412412086796467,77.0226046155452,8.53855252166598,2.4298,0.0,543879.90889476,0.0,3.8589,3.0391e-10,0,109367.908108398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3908,0.0483,25.0,1001.86243902439,12.4506099222496,0.601364459244654,905.755229820591,0.558730670437359,727.433351725277,0.406439324307959,74.6186027864277,8.41489284281489,2.6052,0.0,538782.730928812,0.0,29.477,7.8169e-10,0,160901.307094483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
