Open Time,Open,High,Low,Close,Volume,Close Time,QAV,No. Trades,Taker BBAV,Taker BQAV,Ignore
1616183160000,326979.00000000,326979.00000000,326750.00000000,326979.00000000,0.01525500,1616183219999,4987.99365500,13,0.01494500,4886.70115500,0
1616183220000,326979.00000000,327000.00000000,326439.00000000,326728.00000000,0.03567000,1616183279999,11657.40775000,24,0.01880500,6148.52368000,0
1616183280000,326727.00000000,326727.00000000,325913.00000000,325913.00000000,0.20071900,1616183339999,65474.95087900,30,0.05875800,19152.65271100,0
1616183340000,326040.00000000,326389.00000000,325865.00000000,326356.00000000,0.04041400,1616183399999,13171.88370800,27,0.03439900,11211.77886800,0
1616183400000,326360.00000000,326360.00000000,325906.00000000,325907.00000000,0.27695300,1616183459999,90343.96883800,27,0.27664800,90244.56730600,0
1616183460000,326326.00000000,326332.00000000,325916.00000000,326291.00000000,0.05529800,1616183519999,18039.68637700,33,0.04044100,13196.43516100,0
1616183520000,326280.00000000,326280.00000000,325995.00000000,326277.00000000,0.13697800,1616183579999,44692.10212600,16,0.13444800,43867.33477600,0
1616183580000,326277.00000000,326277.00000000,326162.00000000,326275.00000000,0.11861800,1616183639999,38700.88701600,27,0.10607300,34609.17270900,0
1616183640000,326275.00000000,326693.00000000,326275.00000000,326693.00000000,0.04922100,1616183699999,16061.35602700,15,0.04880000,15923.97587100,0
1616183700000,326358.00000000,327000.00000000,326358.00000000,326999.00000000,0.21847500,1616183759999,71391.52146800,17,0.21835600,71352.68486600,0
1616183760000,326998.00000000,326999.00000000,326459.00000000,326726.00000000,0.13727600,1616183819999,44867.79027200,11,0.12642300,41322.31149500,0
1616183820000,326726.00000000,326741.00000000,326463.00000000,326741.00000000,0.02987500,1616183879999,9760.82807900,14,0.02941800,9611.63417600,0
1616183880000,326478.00000000,326498.00000000,325852.00000000,326477.00000000,0.38384900,1616183939999,125221.52270100,42,0.00443400,1447.64865700,0
1616183940000,326469.00000000,326493.00000000,326459.00000000,326491.00000000,0.23103000,1616183999999,75428.56469800,36,0.20625600,67340.07364100,0
1616184000000,326500.00000000,326993.00000000,326500.00000000,326545.00000000,0.06301000,1616184059999,20587.18327200,30,0.03452400,11285.20601900,0
1616184060000,326560.00000000,326948.00000000,326560.00000000,326948.00000000,0.02562200,1616184119999,8376.69897100,10,0.02549700,8335.87897100,0
