,path,conversions
207,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.glip.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > facebook.com / referral,3
208,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > app.glip.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
209,(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none),3
210,(direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Dynamic Remarketing > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > google / organic > (direct) / (none) > (direct) / (none),3
211,(direct) / (none) > (direct) / (none) > google / organic > (direct) / (none),3
212,(direct) / (none) > (direct) / (none) > October 2018 Sale > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
213,(direct) / (none) > (direct) / (none) > October 2018 Sale > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
214,(direct) / (none) > (direct) / (none) > October 2018 Sale > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
215,(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
216,(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
217,(direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
218,google / organic > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign,3
219,google / organic > PK - Sapphire Brand Campaign > (direct) / (none),3
220,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
221,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
222,google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),3
223,google / organic > Winter 1 2018 | Standard,3
224,Denim Launch - PK (CPA),3
225,Winter 1 2018 | Standard > Winter 1 2018 | Standard,3
226,Conversions - Winter 1 -Aura A > m.facebook.com / referral,3
227,Conversions - Winter 1 -Aura A > l.instagram.com / referral,3
228,instagram.com / referral > Traffic - Winter 1 2018,3
229,m.facebook.com / referral > Catalogue Sales - Winter 1 > m.facebook.com / referral > (direct) / (none),2
230,m.facebook.com / referral > Conversions - Winter 1 -Aura A > m.facebook.com / referral > (direct) / (none),2
231,"m.facebook.com / referral > Catalogue Sales - Jewelry, Shoes, Bags > m.facebook.com / referral > (direct) / (none)",2
232,"m.facebook.com / referral > Catalogue Sales - Jewelry, Shoes, Bags > m.facebook.com / referral > (direct) / (none) > (direct) / (none)",2
233,m.facebook.com / referral > Catalogue Sales - Winter 1 > lm.facebook.com / referral > (direct) / (none) > m.facebook.com / referral > lm.facebook.com / referral,2
234,m.facebook.com / referral > Catalogue Sales - Winter 1 > (direct) / (none),2
235,m.facebook.com / referral > Conversions - Pret - Domestic > (direct) / (none) > Traffic - Winter 1 2018 > Catalogue Sales - Winter 1,2
236,m.facebook.com / referral > m.facebook.com / referral > m.facebook.com / referral > m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),2
237,m.facebook.com / referral > (direct) / (none) > Catalogue Sales - Winter 2018 Add o cart > (direct) / (none) > m.facebook.com / referral > (direct) / (none),2
238,m.facebook.com / referral > (direct) / (none) > Catalogue Sales - Winter 1 > m.facebook.com / referral,2
239,m.facebook.com / referral > (direct) / (none) > m.facebook.com / referral > (direct) / (none),2
240,m.facebook.com / referral > (direct) / (none) > m.facebook.com / referral > Traffic - Winter 1 2018 > m.facebook.com / referral,2
241,m.facebook.com / referral > (direct) / (none) > lm.facebook.com / referral > l.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > lm.facebook.com / referral > m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > l.facebook.com / referral > lm.facebook.com / referral,2
242,m.facebook.com / referral > (direct) / (none) > lm.facebook.com / referral > (direct) / (none),2
243,m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > Catalogue Sales - Winter 2018 Add o cart,2
244,m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > Conversions - Winter 1 -Aura A,2
245,"m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > Post: ""Add a fiery accessory like this dupatta, to spice..."" > Post: ""Floaty fabrics and dusty florals of 'Bohemia'..."" > Post: ""As fall season kicks into high gear, weâ€™re ready..."" > m.facebook.com / referral > Post: ""Classic silhouettes, neutral colours, everyday..."" > m.facebook.com / referral > Post: ""Classic silhouettes, neutral colours, everyday..."" > Traffic - Bohemia > Traffic - Bohemia > October 2018 Sale > m.facebook.com / referral > Catalogue Sales - Jewelry, Shoes, Bags > Traffic - Winter 1 2018 > (direct) / (none) > (direct) / (none)",2
246,l.facebook.com / referral > m.facebook.com / referral > (direct) / (none),2
247,l.facebook.com / referral > m.facebook.com / referral > (direct) / (none) > (direct) / (none),2
248,l.facebook.com / referral > m.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),2
249,l.facebook.com / referral > m.facebook.com / referral > (direct) / (none) > l.facebook.com / referral > (direct) / (none) > m.facebook.com / referral > l.facebook.com / referral > m.facebook.com / referral > lm.facebook.com / referral > Catalogue Sales - Pret > l.facebook.com / referral > lm.facebook.com / referral > (direct) / (none) > m.facebook.com / referral > lm.facebook.com / referral > Catalogue Sales - Bohemia 2018 > lm.facebook.com / referral > Traffic - Pret > Traffic - Winter 1 2018 > lm.facebook.com / referral > sapphireonline.us15.list-manage.com / referral,2
250,l.facebook.com / referral > m.facebook.com / referral > l.facebook.com / referral > lm.facebook.com / referral > (direct) / (none),2
251,l.facebook.com / referral > lm.facebook.com / referral > l.facebook.com / referral,2
252,l.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none),2
253,l.instagram.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
254,l.instagram.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
255,l.instagram.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
256,l.instagram.com / referral > Conversions - Winter 1 -Aura A,2
257,lm.facebook.com / referral > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
258,lm.facebook.com / referral > (direct) / (none) > m.facebook.com / referral,2
259,lm.facebook.com / referral > m.facebook.com / referral,2
260,ROW - Sapphire Brand Campaign > ROW - Sapphire Brand Campaign > ROW - Sapphire Brand Campaign > ROW - Sapphire Brand Campaign,2
261,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > google / organic > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > Black and White Pret 2018 | Smart > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > Black and White Pret 2018 | Smart > (direct) / (none) > (direct) / (none) > google / organic > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > Black and White Pret 2018 | Smart > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > 10e1861a3d-EMAIL_CAMPAIGN_2018_10_07_11_03 > Black and White Pret 2018 | Smart > Dynamic Remarketing > Black and White Pret 2018 | Smart > October 2018 Sale > PK - Sapphire Brand Campaign > (direct) / (none) > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > Black and White Pret 2018 | Smart > google / organic > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > Competition > google / organic > (direct) / (none) > PK - Sapphire Brand Campaign > Black and White Pret 2018 | Smart > PK - Sapphire Brand Campaign,2
262,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none),2
263,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > PK - Sapphire Brand Campaign,2
264,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none),2
265,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
266,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign,2
267,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign,2
268,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none),2
269,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > google / organic > PK - Sapphire Brand Campaign > m.facebook.com / referral > Competition > (direct) / (none) > m.facebook.com / referral > (direct) / (none) > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > PK - Sapphire Brand Campaign > Winter 1 2018 | Standard,2
270,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > google / organic,2
271,PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
272,RTW > (direct) / (none),2
273,ROW - Sapphire Brand Campaign > (direct) / (none),2
274,ROW - Sapphire Brand Campaign > (direct) / (none) > ROW - Sapphire Brand Campaign > ROW - Sapphire Brand Campaign > google / organic > 3df8425c54-EMAIL_CAMPAIGN_2018_10_25_07_04_COPY_01 > ROW - Sapphire Brand Campaign > ROW - Sapphire Brand Campaign > dea5a201d4-EMAIL_CAMPAIGN_2018_10_30_05_07 > (direct) / (none) > (direct) / (none) > (direct) / (none) > ROW - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none),2
275,PK - Sapphire Brand Campaign > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none),2
276,PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign,2
277,RTW > (direct) / (none) > (direct) / (none) > (direct) / (none),2
278,ROW - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none),2
279,PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / organic > (direct) / (none) > (direct) / (none) > PK - Sapphire Brand Campaign > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none),2
